"name,""barcode"",""price"""
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7"""
"HIERBAS PROVENZALES (TAPON VERDE), HACENDADO, TARRO 25 G,""08480000341310"",""0.70"""
"JENGIBRE MOLIDO (TAPON ROJO), HACENDADO, TARRO 49 G,""08480000341495"",""1.10"""
"LAUREL HOJA, HACENDADO, PAQUETE 12 G,""08480000194312"",""0.66"""
"NUEZ MOSCADA MOLIDA ( TAPON ROJO), HACENDADO, TARRO 58 G,""08480000341730"",""1.10"""
"ÑORAS, HACENDADO, CAJA 25 G,""08480000341136"",""0.96"""
"OREGANO (TAPON VERDE), HACENDADO, TARRO 18 G,""08480000341808"",""0.56"""
"PEREJIL (TAPON VERDE), HACENDADO, TARRO 18 G,""08480000341792"",""0.69"""
"PIMENTON DULCE VERA D.O, YUSTE 1557, LATA 75 G,""08412917002084"",""1.38"""
"PIMENTON PICANTE DE LA VERA D.O, YUSTE 1557, LATA 75 G,""08412917002565"",""1.45"""
"PIMENTON ROJO DULCE (TAPON ROJO), HACENDADO, TARRO 56 G,""08480000341846"",""0.55"""
"PIMENTON ROJO DULCE, HACENDADO, LATA 75 G,""08480000341860"",""0.90"""
"PIMENTON ROJO PICANTE (TAPON ROJO), HACENDADO, TARRO 60 G,""08480000341839"",""0.75"""
"PIMIENTA BLANCA MOLIDA (TAPON ROJO), HACENDADO, TARRO 70 G,""08480000341709"",""1.10"""
"PIMIENTA NEGRA GRANO (TAPÓN MARRON), HACENDADO, TARRO 70 G,""08480000341723"",""0.75"""
"PIMIENTA NEGRA MOLIDA (TAPON ROJO), HACENDADO, TARRO 70 G,""08480000341716"",""0.69"""
"PIMIENTA NEGRA MOLINILLO (TAPON NEGRO), HACENDADO, BOTE 65 G,""08480000341907"",""1.32"""
"PIMIENTA POPURRI MOLINILLO (TAPON NEGRO), HACENDADO, BOTE 50 G,""08480000341891"",""1.40"""
"PIMIENTO CHORICERO CONSERVA (CARNE DE PIMIENTO), EL SOL, TARRO 140 G,""08414591000356"",""1.30"""
"PIMIENTO DULCE CHORICERO, HACENDADO, CAJA 75 G,""08480000347893"",""1.95"""
"PIÑONES IBERICOS, HACENDADO, TARRO 50 G,""08480000342102"",""3.50"""
"PREPARADO PAELLA (CON AZAFRAN), HACENDADO, TARRO 76 G,""08480000347770"",""1.65"""
